"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,1970426,1970428,2,"tz2KULoHEauj95i1BH8MTV8djjMu1gjqoy7n",2.082245,0.000319804605797999,2022-11-27,"2022-11-27 12:00:08"
TRUE,1406439,1936644,23,"tz1imemQazci8bfdN2k5xV51oU7LQPWvA2DK",2.07956,0.000319392226194942,2022-11-27,"2022-11-27 12:00:08"
TRUE,1515387,1811337,6,"tz1iY6dPs71oGxAQFDDjoNLE91jGs9NamjrH",2.079256,0.000319345535915862,2022-11-27,"2022-11-27 12:00:08"
TRUE,1463838,1779477,9,"tz1YA8uQFT8HMpywm7Tngmuge2nLv66eMuMV",2.078431,0.000319218827099281,2022-11-27,"2022-11-27 12:00:08"
TRUE,1461648,1488517,6,"tz1Q7EDq9PwHnf1xmGq4bQF6bAHTqbeRdth3",2.072298,0.000318276881436134,2022-11-27,"2022-11-27 12:00:08"
TRUE,1548021,1857434,3,"tz1dp4zTzn1VVNsLiQ7QmYJE3Fo2bQUDmN7p",2.070351,0.000317977848629001,2022-11-27,"2022-11-27 12:00:08"
TRUE,1762863,1882391,2,"tz1XyJeGD8hNMLcVHju6GaNTG3Zj6yLz3mpr",2.070142,0.000317945749062133,2022-11-27,"2022-11-27 12:00:08"
TRUE,1472689,1502117,2,"tz1LGKdPydtV8uc829AndBYMv7oyDF3uqTjJ",2.068411,0.000317679890926978,2022-11-27,"2022-11-27 12:00:08"
TRUE,1474783,1474783,1,"tz1hom1UjJesCRiaRo6kEQPikg9Lf9C5FWz7",2.067564,0.000317549803208621,2022-11-27,"2022-11-27 12:00:08"
TRUE,1443384,1463345,5,"tz1dxQBtb7iEkCqRq1o6BS4obUjEviLA5aCu",2.063637,0.000316946669241691,2022-11-27,"2022-11-27 12:00:08"
TRUE,1394855,2824047,744,"tz1ZWbokP5pGwT3tTtLPP2KhXX5ssg1EtDPs",2.060964,0.000316536132675966,2022-11-27,"2022-11-27 12:00:08"
TRUE,1860311,2052901,14,"tz1cixKdkeRAhzLafcL7FFW8i3eveiwmjhDE",2.059806,0.000316358279573419,2022-11-27,"2022-11-27 12:00:08"
TRUE,1837980,1837980,1,"tz2ReFcm4PrwpN6Y7grEzGszeDHaG6mnNQUj",2.058975,0.000316230649238171,2022-11-27,"2022-11-27 12:00:08"
TRUE,1429048,1645271,8,"tz1PSHBKGBntnD2D86Xu8QbcUCqZS3mqYjcC",2.0485,0.000314621831233693,2022-11-27,"2022-11-27 12:00:08"
TRUE,1856334,1856334,1,"tz1aATife8UyxPQANUP6geMJKCy2L8k13uPs",2.043641,0.000313875554700638,2022-11-27,"2022-11-27 12:00:08"
TRUE,1521976,1931519,43,"tz1U9aAPLM6WrVQBV7eJtVhVcPy3iKUbuSWD",2.033744,0.000312355509660989,2022-11-27,"2022-11-27 12:00:08"
TRUE,1498181,1673470,6,"tz1ip6fVUnc66FCAvCw8vHcj3L57BEDe7cnm",2.029743,0.000311741010297179,2022-11-27,"2022-11-27 12:00:08"
TRUE,1403347,1947717,51,"tz1TUYiabZvck25KV8urL93nHxwmqwi1sZXP",2.024551,0.000310943589478157,2022-11-27,"2022-11-27 12:00:08"
TRUE,1758391,1758391,1,"tz1cx9ZWM39MyB8sP1dze1XsNfSDaVHg5ESB",2.023752,0.000310820873909128,2022-11-27,"2022-11-27 12:00:08"
TRUE,1400387,1984171,231,"tz1bafXvnKt87p1yXPV3vvVpe6gyD7BCdjyh",2.018573,0.000310025449713883,2022-11-27,"2022-11-27 12:00:08"
TRUE,1893162,1893162,1,"tz1aEJ1yCGXd6dKVqB3NEtrYtfTgWsus1Vto",2.012897,0.000309153693055801,2022-11-27,"2022-11-27 12:00:08"
TRUE,1447178,1454733,2,"tz1ZqtHp37TXd8kDnag3tQzZEMuiHt2y3Dvi",2.012821,0.000309142020486031,2022-11-27,"2022-11-27 12:00:08"
TRUE,1453647,1856100,4,"tz1impDoDMz4wPk8VPACfLmQjtyCPWTg6DMp",2.012277,0.000309058469460309,2022-11-27,"2022-11-27 12:00:08"
TRUE,1371568,1374848,7,"tz1RjdBaF4RLTGvAKrXhsMJaDptGQFU3xUx8",2.01,0.000308708753126543,2022-11-27,"2022-11-27 12:00:08"
TRUE,1473848,1473848,1,"tz1N9nuxfYedoCDJJFsQ4fpoR2zMrmqdt8Pj",2.008155,0.000308425386136733,2022-11-27,"2022-11-27 12:00:08"
TRUE,1456192,1457777,2,"tz1de4ZX8EwPRCK847iCmCp3HSpa5Ju2Lfku",2.005026,0.000307944814152388,2022-11-27,"2022-11-27 12:00:08"
TRUE,1802860,1802860,1,"tz1NLGWAiP46MAviFsPKuuCYWRfyjYm55xbH",2.004297,0.000307832849634463,2022-11-27,"2022-11-27 12:00:08"
TRUE,1374628,1682171,3,"tz2AfxrUdVASvdxaDqh3FCJmdrXrjP9W9q9k",2.003654,0.000307734093550751,2022-11-27,"2022-11-27 12:00:08"
TRUE,1457302,1460002,2,"tz1g2mr7SNZot5vevfXRbVQQKRL3jWtEA5ej",2.00217,0.000307506171267349,2022-11-27,"2022-11-27 12:00:08"
TRUE,1390676,2697313,141,"tz1gsrd3CfZv4BfPnYKq5pKpHGFVdtGCgd71",2.001156,0.000307350434612786,2022-11-27,"2022-11-27 12:00:08"
TRUE,1605276,1790858,4,"tz1fLdyJqakB3v9CQN8mLCFRxNfFThmYHGmo",2.000099,0.000307188093741117,2022-11-27,"2022-11-27 12:00:08"
TRUE,1371009,1371352,2,"tz1YwHt2RYHN7GHmZoo5rgcueDtgvdaEob5Y",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1372096,1855905,140,"tz1ScnxV6dRwQ3rDM8eTs6Gn7isnHHx4bk1r",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1375371,1376560,2,"tz1h81TSxhnjaXPKC5h454v5cV1M8hRmd665",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1376253,1379191,4,"tz1gpL2MTtNKTMqJ5nD4ZocnxGbpr6jvYYJ3",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1377558,1377558,1,"tz1Koa4ooEyPpTsMNZx8Rwq456Vyi4nuSpM4",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1378527,1378607,2,"tz1Lko4X94AN1z9fpn931LYaFPhLgDbYbieP",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1380436,2146434,6,"tz1auzguranCBAHCf6s8Nw27gDroPeopXDbJ",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1381670,1383620,3,"tz1Y7FvKdoPewZgZ8d1LkB8mxLH7P22rcfnc",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1381744,1855840,36,"tz1YrD36cYUpg58t1icY5AaUTvsHJkHnFYze",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1390644,1405587,4,"tz1dvMvtheRXmzkabyvZa5CL4H4pTt49sAwu",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1393359,1393359,1,"tz2TGnW8xKVDru3iGVybkB9setAi9taEzSEL",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1396056,1396056,1,"tz1hSJEFvxTSSo9KoBSNiV8Rd5UDLrqEdZ7N",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1396659,1602932,243,"tz1QRGuWFKq9Lqh7V4FxCRDoWCsPEgTW4f2M",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1397798,1397798,1,"tz1LtCsepiET5HQP5x7PRBGttQtJTkM3HrYm",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1398909,1400380,2,"tz1W7pG5S5VYLzJcWubX1dCCmsow3ustXMG9",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1400884,1408110,3,"tz1YMXC9Wt6kVcWMkpjAKthAs31PoWM13SSt",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1402952,1407327,4,"tz1YjXeTSVhbEa9wY8X5prYgnZt5fQEnGUSa",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1405139,1406077,2,"tz1SWdvk6bRH6k6HmECoSUCFoSvD1WBPb9va",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1406246,1408300,4,"tz1NuCeGASjPiuKFU8pxJ1QXLTdRrGx5a8gX",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1409048,1409074,2,"tz1Unas7WpesZxRLpUPxwtW15omnAbBcL5AM",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1409734,1413138,2,"tz2WEBPmHBXM19JZfGF47do3hfqEGr1cVhux",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1410412,1410412,1,"tz1NZh6sjZUjdxzPmiqCgfinytxwrpwgzSPs",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1410528,1410530,2,"tz1d9GL1umtZKUy4DJmr3ZG1ZidfaerxkAsa",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1410863,1410868,2,"tz1dpfYGs2u3MPkmxcGBBNLgEKdHBjoKKVAc",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1410902,1419315,4,"tz1RQiGV69GpJueJrtZpbVD2fWfH6zyvEHPk",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1411267,1413601,4,"tz1fwPp2ujUBoVAKwfJATx4nKmgsFhmdX96s",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1411357,1411358,2,"tz1WzCDgkpRAPypVDjf15Rfq3ZsKhZCejBpA",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1414912,1417012,2,"tz1TmezqKY18Dp2V2w7E6vVXPMdQb2H3NLu7",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1415919,1665541,30,"tz1LxFeaR3ZNkMRstvhjNeVbpv9vz2LttLBz",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1417040,1417043,2,"tz1UaSuKR7kNxdWb4Cm5f7pVXU3gzRLSSjuY",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1417157,1420388,4,"tz1P7VhVeKZaAi55JDMeappcgzco9p1utAcp",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1417476,1684359,4,"tz1X3PCuun8KrFwkB6PQEeZ3PEAmcUYJ13dh",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1418854,1418971,4,"tz1aFvEQ24oqQWEJnJ94fdaQwcpA7Rzpe5sP",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1419440,1796563,8,"tz1cAvq63A9RFaiFiQjrQR4NxMisUvV4jcoG",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1419974,1419975,2,"tz1cRqsGosLfJocR6nPx949JTapAuNJTRahW",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1420991,1420991,1,"tz1d15oya1ZujVUqoc3pabHUxYyGucputKek",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1421029,1423972,4,"tz2MwYhotRZJL9eXnkztPJv2oxCHiAW7TDUN",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1421569,1428780,2,"tz1Ue8sMvof3xJ5Djbizg1QTLRdLgH3gRk4Q",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1421889,1428986,4,"tz1VBUxCq5NzpgSZYuwbYdCmeYHTiVUb399z",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1423382,1424925,2,"tz1iwz8njtQALP7bJb9S4UgBQ2eKQJn1RnJ7",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1423442,1423589,4,"tz1SdyQbu8p1XT9xVvmzMMasU98axe9AeLTP",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
TRUE,1423526,1428940,4,"tz1PeTq8dD1LsxtsbVfLxoiFVesp187jrAPJ",2,0.000307172888683127,2022-11-27,"2022-11-27 12:00:08"
